,actor.actor_id,actor.first_name,actor.last_name,actor.last_update,address.address_id,address.address,address.address2,address.district,address.city_id,address.postal_code,address.phone,address.last_update,category.category_id,category.name,category.last_update,city.city_id,city.city,city.country_id,city.last_update,customer.customer_id,customer.store_id,customer.first_name,customer.last_name,customer.email,customer.address_id,customer.active,customer.create_date,customer.last_update,film.film_id,film.title,film.description,film.release_year,film.language_id,film.original_language_id,film.rental_duration,film.rental_rate,film.length,film.replacement_cost,film.rating,film.special_features,film.last_update,film_category.film_id,film_category.category_id,film_category.last_update,inventory.inventory_id,inventory.film_id,inventory.store_id,inventory.last_update,language.language_id,language.name,language.last_update,payment.payment_id,payment.customer_id,payment.staff_id,payment.rental_id,payment.amount,payment.payment_date,payment.last_update,rental.rental_id,rental.rental_date,rental.inventory_id,rental.customer_id,rental.return_date,rental.staff_id,rental.last_update,staff.staff_id,staff.first_name,staff.last_name,staff.address_id,staff.picture,staff.email,staff.store_id,staff.active,staff.username,staff.password,staff.last_update,store.store_id,store.manager_staff_id,store.address_id,store.last_update
address.phone,0.038462,0.028270,0.024949,0.029814,0.048427,0.034622,0.050874,0.034474,0.038686,0.043823,1.000000,0.033997,0.038215,0.033317,0.030532,0.039195,0.028415,0.035154,0.028948,0.092688,0.076774,0.071338,0.068482,0.061882,0.074961,0.090517,0.073027,0.072939,0.033582,0.025235,0.029739,0.031944,0.029541,0.026895,0.040670,0.037744,0.036950,0.032039,0.030732,0.029219,0.025108,0.034752,0.035158,0.030735,0.044392,0.037048,0.041621,0.034888,0.035083,0.030639,0.027378,0.046570,0.072801,0.050602,0.044903,0.047332,0.034314,0.035837,0.048654,0.034496,0.045031,0.071649,0.034451,0.052951,0.031453,0.053266,0.043959,0.041888,0.049044,0.052449,0.039842,0.047589,0.059994,0.052007,0.045994,0.041162,0.051403,0.055343,0.046009,0.050311
address.last_update,0.025953,0.019075,0.016835,0.020265,0.032677,0.023362,0.034328,0.023262,0.026104,0.029570,0.033997,1.000000,0.025786,0.022482,0.020602,0.026447,0.019174,0.023721,0.019533,0.062543,0.051804,0.048137,0.046209,0.041756,0.050581,0.061078,0.049276,0.049217,0.029716,0.022150,0.027643,0.025444,0.022911,0.025647,0.027443,0.027432,0.025420,0.022702,0.020737,0.028106,0.026493,0.025947,0.023939,0.022451,0.048839,0.040458,0.036890,0.040384,0.023673,0.020674,0.018474,0.031424,0.049124,0.034145,0.030299,0.031938,0.023154,0.024181,0.032830,0.025155,0.035766,0.048346,0.024295,0.035730,0.021223,0.035942,0.029662,0.028265,0.033093,0.035391,0.026884,0.032111,0.040482,0.035093,0.031035,0.027774,0.034685,0.037344,0.031045,0.033948
category.category_id,0.081353,0.038808,0.043159,0.045617,0.054106,0.026261,0.064464,0.037717,0.029343,0.033239,0.038215,0.025786,1.000000,0.134340,0.093593,0.052071,0.027237,0.047931,0.030813,0.070302,0.058232,0.054109,0.051942,0.046937,0.056857,0.068656,0.055390,0.055323,0.096859,0.088010,0.103717,0.084275,0.080825,0.106305,0.075960,0.071075,0.071198,0.067818,0.093829,0.098449,0.065544,0.154350,0.163768,0.110120,0.086675,0.090123,0.077059,0.071669,0.082503,0.063295,0.047640,0.058302,0.055219,0.061325,0.057008,0.044876,0.032905,0.032368,0.076092,0.047421,0.071722,0.063280,0.053397,0.078264,0.046089,0.051612,0.033342,0.031771,0.053967,0.056699,0.030219,0.049952,0.045505,0.039447,0.034885,0.031220,0.068297,0.069114,0.068891,0.038160
category.name,0.074205,0.041243,0.045867,0.048479,0.049352,0.022895,0.058800,0.034403,0.025690,0.029973,0.033317,0.022482,0.134340,1.000000,0.085369,0.048876,0.028946,0.043720,0.032747,0.061292,0.050769,0.047174,0.045285,0.040921,0.049570,0.059857,0.048291,0.048233,0.102936,0.093532,0.110224,0.089563,0.082979,0.099684,0.080726,0.073720,0.075666,0.072073,0.085585,0.104625,0.069656,0.140789,0.149379,0.100444,0.091964,0.094591,0.075411,0.068497,0.075255,0.057734,0.050629,0.053179,0.048142,0.055937,0.051999,0.040933,0.028450,0.027986,0.072954,0.050397,0.074982,0.057720,0.056747,0.071388,0.048981,0.047077,0.029069,0.027699,0.049225,0.058402,0.026346,0.045563,0.040617,0.034391,0.030414,0.027219,0.062296,0.063042,0.062838,0.036459
category.last_update,0.051698,0.029145,0.032412,0.034835,0.034383,0.020981,0.040965,0.023968,0.023443,0.026556,0.030532,0.020602,0.093593,0.085369,1.000000,0.034539,0.020455,0.030459,0.025180,0.056167,0.046524,0.043230,0.041499,0.037500,0.045425,0.054852,0.044253,0.044200,0.072741,0.066096,0.077892,0.063291,0.058639,0.070443,0.057046,0.052096,0.053470,0.050932,0.059625,0.073935,0.049224,0.098085,0.104070,0.069978,0.083953,0.069545,0.063412,0.069418,0.052429,0.040222,0.035778,0.037049,0.044116,0.038971,0.037913,0.031662,0.027705,0.027253,0.051554,0.036479,0.061481,0.043418,0.040101,0.049735,0.034613,0.032798,0.026638,0.025383,0.034294,0.041270,0.024143,0.031743,0.036356,0.031515,0.027871,0.026795,0.043401,0.043920,0.043778,0.035624
city.city_id,0.040817,0.023965,0.026652,0.028170,0.037672,0.026933,0.039576,0.026818,0.030095,0.034091,0.039195,0.026447,0.052071,0.048876,0.034539,1.000000,0.022105,0.027347,0.022520,0.072104,0.059724,0.055496,0.053273,0.048140,0.058314,0.070415,0.056810,0.056741,0.059813,0.054349,0.064048,0.052043,0.048217,0.057924,0.046908,0.042837,0.043967,0.041880,0.048047,0.060795,0.040475,0.063665,0.058739,0.047475,0.059072,0.054964,0.044619,0.048845,0.039042,0.032539,0.029419,0.036228,0.056634,0.039365,0.040561,0.036821,0.029641,0.029156,0.044233,0.039028,0.043570,0.055738,0.037693,0.041192,0.032311,0.041437,0.034197,0.032586,0.038152,0.040801,0.030994,0.037020,0.046671,0.040457,0.035779,0.032021,0.039988,0.043053,0.035791,0.039138
city.city,0.024173,0.015944,0.015784,0.016815,0.027312,0.019526,0.028692,0.019443,0.021818,0.024715,0.028415,0.019174,0.027237,0.028946,0.020455,0.022105,1.000000,0.019826,0.016326,0.052274,0.043299,0.040233,0.038622,0.034901,0.042277,0.051050,0.041186,0.041136,0.035423,0.032187,0.037931,0.030821,0.028555,0.034304,0.027780,0.025369,0.026039,0.024802,0.028455,0.036004,0.023971,0.037704,0.034787,0.028116,0.031667,0.032551,0.025951,0.026185,0.023122,0.019271,0.017423,0.026265,0.041058,0.028539,0.025325,0.026695,0.019352,0.020211,0.027440,0.022948,0.025803,0.040409,0.022164,0.029864,0.018999,0.030041,0.024792,0.023624,0.027660,0.029580,0.022470,0.026839,0.033836,0.029331,0.025940,0.023214,0.028990,0.031213,0.025948,0.028375
city.country_id,0.029905,0.019725,0.019526,0.020802,0.033789,0.024157,0.035497,0.024054,0.026992,0.030576,0.035154,0.023721,0.047931,0.043720,0.030459,0.027347,0.019826,1.000000,0.020198,0.064671,0.053568,0.049775,0.047782,0.043177,0.052303,0.063156,0.050954,0.050892,0.043822,0.039818,0.046925,0.038129,0.035326,0.042437,0.034367,0.031384,0.032212,0.030683,0.035202,0.044541,0.029654,0.050232,0.053297,0.035838,0.047690,0.040269,0.036022,0.039434,0.028604,0.023840,0.021554,0.032493,0.050796,0.035307,0.031331,0.033025,0.023942,0.025004,0.033947,0.024069,0.034925,0.049992,0.024158,0.036946,0.021946,0.037166,0.030672,0.029227,0.034219,0.036595,0.027799,0.033204,0.041860,0.036287,0.032091,0.028720,0.035865,0.038615,0.032102,0.035104
city.last_update,0.028482,0.016242,0.017856,0.027351,0.027824,0.019893,0.029230,0.019808,0.022227,0.025179,0.028948,0.019533,0.030813,0.032747,0.025180,0.022520,0.016326,0.020198,1.000000,0.053255,0.044111,0.040988,0.039347,0.035555,0.043069,0.052007,0.041959,0.041908,0.040106,0.036413,0.042912,0.034868,0.032305,0.038808,0.035386,0.031323,0.034308,0.030640,0.032191,0.040732,0.035757,0.042655,0.039355,0.031808,0.065916,0.054603,0.049788,0.054504,0.026158,0.021801,0.022772,0.026757,0.041828,0.029074,0.029852,0.027195,0.021814,0.021458,0.032554,0.028723,0.048272,0.041167,0.027741,0.030424,0.026425,0.030605,0.025257,0.024067,0.028178,0.030135,0.022891,0.027343,0.034470,0.029881,0.026426,0.023650,0.029534,0.031798,0.026435,0.028907
customer.customer_id,0.070757,0.052006,0.045897,0.054848,0.089088,0.063693,0.093591,0.063421,0.071168,0.080618,0.092688,0.062543,0.070302,0.061292,0.056167,0.072104,0.052274,0.064671,0.053255,1.000000,0.141237,0.131237,0.125982,0.113842,0.137902,0.166519,0.134345,0.134181,0.061779,0.040574,0.052340,0.058766,0.054345,0.049398,0.074819,0.069436,0.067975,0.058940,0.056536,0.053753,0.046191,0.063931,0.064678,0.056541,0.081666,0.068156,0.076568,0.063551,0.064540,0.056366,0.050366,0.085672,0.133928,0.093091,0.082606,0.087075,0.063125,0.065927,0.089505,0.063460,0.082840,0.131809,0.063377,0.097411,0.057862,0.097991,0.080869,0.077059,0.090223,0.096487,0.073295,0.087547,0.110368,0.095674,0.084612,0.075723,0.094563,0.101812,0.084639,0.092555
customer.store_id,0.058608,0.043077,0.038017,0.045431,0.073792,0.052757,0.077522,0.052532,0.058949,0.066776,0.076774,0.051804,0.058232,0.050769,0.046524,0.059724,0.043299,0.053568,0.044111,0.141237,1.000000,0.108704,0.104351,0.094296,0.114225,0.137928,0.111278,0.111143,0.051172,0.037811,0.044559,0.048676,0.045014,0.040917,0.061973,0.057514,0.056304,0.048821,0.046829,0.044524,0.038260,0.052954,0.055145,0.046833,0.067645,0.056454,0.063422,0.052640,0.053459,0.046688,0.041719,0.070963,0.110933,0.077107,0.068423,0.072124,0.052287,0.054607,0.074138,0.052564,0.068617,0.109178,0.052495,0.080687,0.047927,0.081167,0.066984,0.063828,0.074732,0.079921,0.060710,0.072515,0.091419,0.079248,0.070084,0.062722,0.078327,0.084332,0.070107,0.076664
customer.first_name,0.054459,0.040027,0.035325,0.042214,0.068567,0.049022,0.072033,0.048812,0.054775,0.062048,0.071338,0.048137,0.054109,0.047174,0.043230,0.055496,0.040233,0.049775,0.040988,0.131237,0.108704,1.000000,0.096963,0.087619,0.106137,0.128163,0.103400,0.103274,0.047549,0.031128,0.040284,0.045230,0.041827,0.038020,0.057585,0.053442,0.052317,0.045364,0.043513,0.041372,0.035551,0.049205,0.049780,0.043517,0.062855,0.052457,0.058931,0.048913,0.049674,0.043382,0.038765,0.065938,0.103079,0.071648,0.063579,0.067018,0.048585,0.050741,0.068889,0.048842,0.063759,0.101448,0.048779,0.074974,0.044534,0.075420,0.062242,0.059309,0.069441,0.074262,0.056412,0.067381,0.084946,0.073637,0.065122,0.058281,0.072781,0.078361,0.065144,0.071236
customer.last_name,0.052278,0.038424,0.033911,0.040524,0.065822,0.047059,0.069149,0.046858,0.052582,0.059564,0.068482,0.046209,0.051942,0.045285,0.041499,0.053273,0.038622,0.047782,0.039347,0.125982,0.104351,0.096963,1.000000,0.084111,0.101887,0.123031,0.099259,0.099139,0.045645,0.029882,0.038671,0.043419,0.040152,0.036497,0.055279,0.051302,0.050223,0.043547,0.041771,0.039715,0.034127,0.047234,0.047787,0.041775,0.060338,0.050356,0.056571,0.046954,0.047685,0.041645,0.037213,0.063298,0.098951,0.068779,0.061033,0.064334,0.046639,0.048709,0.066130,0.046887,0.061206,0.097386,0.046825,0.071972,0.042751,0.072400,0.059749,0.056934,0.066660,0.071289,0.054153,0.064683,0.081545,0.070688,0.062515,0.055947,0.069867,0.075223,0.062535,0.068383
customer.email,0.047240,0.034721,0.030643,0.036619,0.059479,0.042524,0.062485,0.042342,0.047515,0.053824,0.061882,0.041756,0.046937,0.040921,0.037500,0.048140,0.034901,0.043177,0.035555,0.113842,0.094296,0.087619,0.084111,1.000000,0.092069,0.111175,0.089694,0.089585,0.041246,0.027002,0.034944,0.039235,0.036283,0.032980,0.049952,0.046358,0.045383,0.039351,0.037746,0.035888,0.030839,0.042683,0.043182,0.037749,0.054524,0.045504,0.051120,0.042429,0.043089,0.037632,0.033627,0.057198,0.089416,0.062151,0.055151,0.058135,0.042145,0.044015,0.059758,0.042368,0.055308,0.088001,0.042313,0.065036,0.038631,0.065423,0.053992,0.051448,0.060237,0.064419,0.048935,0.058450,0.073687,0.063876,0.056490,0.050556,0.063134,0.067974,0.056509,0.061793
customer.address_id,0.057224,0.042060,0.037119,0.044358,0.072050,0.051511,0.075691,0.051291,0.057557,0.065199,0.074961,0.050581,0.056857,0.049570,0.045425,0.058314,0.042277,0.052303,0.043069,0.137902,0.114225,0.106137,0.101887,0.092069,1.000000,0.134671,0.108651,0.108519,0.049964,0.032709,0.042330,0.047527,0.043951,0.039951,0.060510,0.056156,0.054974,0.047668,0.045723,0.043473,0.037356,0.051704,0.054076,0.045727,0.066047,0.055121,0.061924,0.051397,0.052196,0.045585,0.040733,0.069287,0.108314,0.075287,0.066807,0.070421,0.051052,0.053318,0.072387,0.051323,0.066997,0.106600,0.051256,0.078781,0.046795,0.079250,0.065402,0.062321,0.072967,0.078034,0.059277,0.070803,0.089260,0.077376,0.068429,0.061240,0.076477,0.082340,0.068452,0.074853
customer.active,0.069099,0.050788,0.044822,0.053563,0.087001,0.062201,0.091398,0.061935,0.069501,0.078729,0.090517,0.061078,0.068656,0.059857,0.054852,0.070415,0.051050,0.063156,0.052007,0.166519,0.137928,0.128163,0.123031,0.111175,0.134671,1.000000,0.131197,0.131038,0.060332,0.043424,0.051174,0.057389,0.053072,0.048241,0.073066,0.067809,0.066382,0.057560,0.055211,0.052494,0.045109,0.062433,0.063163,0.055217,0.079753,0.066559,0.074774,0.063293,0.063028,0.055045,0.049186,0.083665,0.130791,0.090910,0.080671,0.085035,0.061646,0.064382,0.087409,0.061973,0.080900,0.128721,0.061892,0.095130,0.056506,0.095696,0.078975,0.075254,0.088109,0.094227,0.071578,0.085496,0.107783,0.093433,0.082630,0.073949,0.092348,0.099427,0.082657,0.090386
customer.create_date,0.055748,0.040975,0.036162,0.043214,0.070191,0.050183,0.073739,0.049968,0.056072,0.063518,0.073027,0.049276,0.055390,0.048291,0.044253,0.056810,0.041186,0.050954,0.041959,0.134345,0.111278,0.103400,0.099259,0.089694,0.108651,0.131197,1.000000,0.105720,0.048675,0.031865,0.041238,0.046301,0.042817,0.038920,0.058949,0.054707,0.053556,0.046438,0.044544,0.042352,0.036393,0.050370,0.050959,0.044548,0.064344,0.053699,0.060327,0.050071,0.050850,0.044410,0.039683,0.067500,0.105520,0.073345,0.065084,0.068605,0.049735,0.051943,0.070520,0.049999,0.065269,0.103850,0.049934,0.076749,0.045588,0.077206,0.063715,0.060714,0.071085,0.076021,0.057748,0.068977,0.086958,0.075380,0.066664,0.059661,0.074505,0.080216,0.066686,0.072922
customer.last_update,0.055680,0.040925,0.036118,0.043161,0.070106,0.050122,0.073649,0.049907,0.056004,0.063441,0.072939,0.049217,0.055323,0.048233,0.044200,0.056741,0.041136,0.050892,0.041908,0.134181,0.111143,0.103274,0.099139,0.089585,0.108519,0.131038,0.105720,1.000000,0.048616,0.031826,0.041188,0.046245,0.042765,0.038873,0.058877,0.054641,0.053491,0.046382,0.044490,0.042300,0.036349,0.050309,0.050897,0.044494,0.066864,0.055389,0.060253,0.055288,0.050788,0.044356,0.039635,0.067418,0.105392,0.073256,0.065005,0.068521,0.049675,0.051880,0.070434,0.049938,0.065189,0.103724,0.049873,0.076656,0.045533,0.077112,0.063638,0.060640,0.070999,0.075929,0.057678,0.068893,0.086852,0.075289,0.066583,0.059588,0.074414,0.080119,0.066605,0.072834
film.film_id,0.085963,0.050472,0.056130,0.059328,0.034593,0.026080,0.041427,0.025291,0.025785,0.036681,0.033582,0.029716,0.096859,0.102936,0.072741,0.059813,0.035423,0.043822,0.040106,0.061779,0.051172,0.047549,0.045645,0.041246,0.049964,0.060332,0.048675,0.048616,1.000000,0.114462,0.134889,0.109604,0.101548,0.121990,0.098790,0.090217,0.092597,0.088201,0.101190,0.128037,0.085243,0.134082,0.123708,0.099985,0.133720,0.115758,0.101002,0.110570,0.082225,0.068530,0.061958,0.052209,0.048524,0.047300,0.058457,0.048819,0.042718,0.042020,0.089278,0.061674,0.097927,0.068458,0.069446,0.078393,0.059941,0.044902,0.029300,0.027920,0.034388,0.071470,0.026556,0.035465,0.052156,0.034664,0.030656,0.042679,0.060083,0.049102,0.043897,0.056741
film.title,0.078110,0.045861,0.051002,0.053907,0.031433,0.023698,0.037642,0.022980,0.016880,0.033329,0.025235,0.022150,0.088010,0.093532,0.066096,0.054349,0.032187,0.039818,0.036413,0.040574,0.037811,0.031128,0.029882,0.027002,0.032709,0.043424,0.031865,0.031826,0.114462,1.000000,0.122566,0.099591,0.092270,0.110845,0.089765,0.081975,0.084138,0.080143,0.091945,0.116340,0.077455,0.121833,0.112406,0.090850,0.102261,0.105182,0.083855,0.080273,0.074713,0.062269,0.056298,0.038018,0.031766,0.033159,0.037666,0.033243,0.027525,0.027075,0.081122,0.056039,0.083378,0.062204,0.063101,0.071231,0.054465,0.040800,0.021740,0.020872,0.026919,0.064941,0.017385,0.032225,0.043331,0.022693,0.026688,0.030985,0.054594,0.044616,0.035698,0.041194
film.description,0.092050,0.054045,0.060104,0.063528,0.037072,0.027927,0.044360,0.027082,0.021845,0.039278,0.029739,0.027643,0.103717,0.110224,0.077892,0.064048,0.037931,0.046925,0.042912,0.052340,0.044559,0.040284,0.038671,0.034944,0.042330,0.051174,0.041238,0.041188,0.134889,0.122566,1.000000,0.117365,0.108737,0.130627,0.105785,0.096604,0.099153,0.094446,0.108354,0.137103,0.091279,0.143576,0.132467,0.107064,0.124389,0.123954,0.098820,0.102854,0.088047,0.073382,0.066345,0.050190,0.044527,0.045472,0.056197,0.046932,0.041067,0.040396,0.095599,0.066040,0.098258,0.073305,0.074362,0.083943,0.064185,0.048082,0.025619,0.024597,0.036977,0.076530,0.022498,0.037976,0.051064,0.029368,0.031450,0.039701,0.064337,0.052579,0.047203,0.052782
