col_i,col_j,table_i,table_j,domain_i,domain_j,type_i,type_j,P_stat,P_name,P_sem,same_domain
actor.actor_id,payment.customer_id,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",numeric,numeric,0.0,0.545455,0.055575,0
actor.actor_id,payment.staff_id,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",numeric,numeric,0.240499,0.375,0.038629,0
actor.actor_id,payment.rental_id,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",numeric,numeric,0.031713,0.444444,0.045979,0
actor.actor_id,payment.amount,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",numeric,numeric,0.043403,0.25,0.038399,0
actor.actor_id,payment.payment_date,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",numeric,nominal,0.290453,0.166667,0.033599,0
actor.actor_id,payment.last_update,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",numeric,nominal,0.290453,0.181818,0.033051,0
actor.actor_id,rental.rental_id,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,numeric,numeric,0.0,0.444444,0.060924,0
actor.actor_id,rental.rental_date,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,numeric,nominal,0.290453,0.181818,0.04424,0
actor.actor_id,rental.inventory_id,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,numeric,numeric,0.011966,0.5,0.069543,0
actor.actor_id,rental.customer_id,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,numeric,numeric,0.026571,0.545455,0.054696,0
actor.actor_id,rental.return_date,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,numeric,nominal,0.290453,0.272727,0.04739,0
actor.actor_id,rental.staff_id,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,numeric,numeric,0.240499,0.375,0.053496,0
actor.actor_id,rental.last_update,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,numeric,nominal,0.33974,0.181818,0.040904,0
actor.actor_id,staff.staff_id,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,numeric,0.240499,0.375,0.040663,0
actor.actor_id,staff.first_name,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,nominal,0.326331,0.1,0.033558,0
actor.actor_id,staff.last_name,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,nominal,0.326268,0.222222,0.031977,0
actor.actor_id,staff.address_id,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,numeric,0.301092,0.4,0.037439,0
actor.actor_id,staff.picture,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,nominal,1.692652,0.25,0.048772,0
actor.actor_id,staff.email,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,nominal,0.3396,0.125,0.030415,0
actor.actor_id,staff.store_id,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,numeric,0.240499,0.625,0.036329,0
actor.actor_id,staff.active,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,nominal,0.619116,0.375,0.045799,0
actor.actor_id,staff.username,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,nominal,0.326331,0.0,0.039701,0
actor.actor_id,staff.password,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,nominal,0.61851,0.25,0.035111,0
actor.actor_id,staff.last_update,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,numeric,nominal,0.618836,0.181818,0.031422,0
actor.actor_id,store.store_id,actor,store,Tracks information about individual actors involved in film production.,"Tracks individual store locations, including their assigned managers and addresses.",numeric,numeric,0.240499,0.625,0.041001,0
actor.actor_id,store.manager_staff_id,actor,store,Tracks information about individual actors involved in film production.,"Tracks individual store locations, including their assigned managers and addresses.",numeric,numeric,0.240499,0.3125,0.042248,0
actor.actor_id,store.address_id,actor,store,Tracks information about individual actors involved in film production.,"Tracks individual store locations, including their assigned managers and addresses.",numeric,numeric,0.240499,0.4,0.038053,0
actor.actor_id,store.last_update,actor,store,Tracks information about individual actors involved in film production.,"Tracks individual store locations, including their assigned managers and addresses.",numeric,nominal,0.618836,0.181818,0.040295,0
actor.first_name,actor.last_name,actor,actor,Tracks information about individual actors involved in film production.,Tracks information about individual actors involved in film production.,nominal,nominal,0.006719,0.7,0.022489,1
actor.first_name,actor.last_update,actor,actor,Tracks information about individual actors involved in film production.,Tracks information about individual actors involved in film production.,nominal,nominal,0.718767,0.363636,0.02377,1
actor.first_name,address.address_id,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,numeric,0.292222,0.1,0.027172,0
actor.first_name,address.address,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,nominal,0.010922,0.0,0.019426,0
actor.first_name,address.address2,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,nominal,0.928717,0.0,0.028545,0
actor.first_name,address.district,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,nominal,0.000492,0.3,0.019343,0
actor.first_name,address.city_id,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,numeric,0.303978,0.2,0.021706,0
actor.first_name,address.postal_code,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,numeric,0.291687,0.272727,0.024588,0
actor.first_name,address.phone,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,numeric,2.277459,0.2,0.02827,0
actor.first_name,address.last_update,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,nominal,0.064544,0.363636,0.019075,0
actor.first_name,category.category_id,actor,category,Tracks information about individual actors involved in film production.,Tracks movie categories and their latest updates in the Sakila video rental store.,nominal,numeric,0.292222,0.0,0.038808,0
actor.first_name,category.name,actor,category,Tracks information about individual actors involved in film production.,Tracks movie categories and their latest updates in the Sakila video rental store.,nominal,nominal,0.030951,0.4,0.041243,0
actor.first_name,category.last_update,actor,category,Tracks information about individual actors involved in film production.,Tracks movie categories and their latest updates in the Sakila video rental store.,nominal,nominal,0.718767,0.363636,0.029145,0
actor.first_name,city.city_id,actor,city,Tracks information about individual actors involved in film production.,Captures information about cities in various countries within the Sakila DVD rental chain.,nominal,numeric,0.292222,0.2,0.023965,0
actor.first_name,city.city,actor,city,Tracks information about individual actors involved in film production.,Captures information about cities in various countries within the Sakila DVD rental chain.,nominal,nominal,0.09894,0.2,0.015944,0
actor.first_name,city.country_id,actor,city,Tracks information about individual actors involved in film production.,Captures information about cities in various countries within the Sakila DVD rental chain.,nominal,numeric,0.349427,0.1,0.019725,0
actor.first_name,city.last_update,actor,city,Tracks information about individual actors involved in film production.,Captures information about cities in various countries within the Sakila DVD rental chain.,nominal,nominal,0.718767,0.363636,0.016242,0
actor.first_name,customer.customer_id,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",nominal,numeric,0.292222,0.090909,0.052006,0
actor.first_name,customer.store_id,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",nominal,numeric,0.493617,0.1,0.043077,0
actor.first_name,customer.first_name,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",nominal,nominal,0.013061,1.0,0.040027,0
actor.first_name,customer.last_name,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",nominal,nominal,0.029161,0.7,0.038424,0
actor.first_name,customer.email,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",nominal,nominal,0.00788,0.1,0.034721,0
actor.first_name,customer.address_id,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",nominal,numeric,0.338809,0.1,0.04206,0
actor.first_name,customer.active,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",nominal,nominal,0.407609,0.2,0.050788,0
actor.first_name,customer.create_date,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",nominal,nominal,0.407758,0.363636,0.040975,0
actor.first_name,customer.last_update,actor,customer,Tracks information about individual actors involved in film production.,"Tracks individual customers and their associated details such as names, contact information, and activity status in the Sakila store.",nominal,nominal,0.718767,0.363636,0.040925,0
actor.first_name,film.film_id,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,numeric,0.292222,0.3,0.050472,0
actor.first_name,film.title,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,nominal,0.010312,0.3,0.045861,0
actor.first_name,film.description,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,nominal,0.17735,0.0,0.054045,0
actor.first_name,film.release_year,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,numeric,0.66518,0.166667,0.043915,0
actor.first_name,film.language_id,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,nominal,0.718618,0.0,0.040687,0
actor.first_name,film.original_language_id,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,nominal,0.928717,0.25,0.048877,0
actor.first_name,film.rental_duration,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,numeric,0.313102,0.133333,0.039582,0
actor.first_name,film.rental_rate,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,numeric,0.447051,0.272727,0.036147,0
actor.first_name,film.length,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,numeric,0.279168,0.1,0.0371,0
actor.first_name,film.replacement_cost,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,numeric,0.331539,0.125,0.035339,0
actor.first_name,film.rating,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,nominal,0.013668,0.3,0.040543,0
actor.first_name,film.special_features,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,nominal,0.187732,0.1875,0.0513,0
actor.first_name,film.last_update,actor,film,Tracks information about individual actors involved in film production.,Captures details of films in a video rental store inventory.,nominal,nominal,0.718767,0.363636,0.034154,0
actor.first_name,film_category.film_id,actor,film_category,Tracks information about individual actors involved in film production.,The film_category table records the association between individual films and their respective categories in the Sakila video rental store.,nominal,numeric,0.292222,0.3,0.053722,0
actor.first_name,film_category.category_id,actor,film_category,Tracks information about individual actors involved in film production.,The film_category table records the association between individual films and their respective categories in the Sakila video rental store.,nominal,numeric,0.315988,0.0,0.049566,0
actor.first_name,film_category.last_update,actor,film_category,Tracks information about individual actors involved in film production.,The film_category table records the association between individual films and their respective categories in the Sakila video rental store.,nominal,nominal,0.718767,0.363636,0.04006,0
actor.first_name,inventory.inventory_id,actor,inventory,Tracks information about individual actors involved in film production.,Tracks the current inventory of films across different stores in the Sakila video rental store.,nominal,numeric,0.292222,0.083333,0.045092,0
actor.first_name,inventory.film_id,actor,inventory,Tracks information about individual actors involved in film production.,Tracks the current inventory of films across different stores in the Sakila video rental store.,nominal,numeric,0.292222,0.3,0.04638,0
actor.first_name,inventory.store_id,actor,inventory,Tracks information about individual actors involved in film production.,Tracks the current inventory of films across different stores in the Sakila video rental store.,nominal,numeric,0.493617,0.1,0.036976,0
actor.first_name,inventory.last_update,actor,inventory,Tracks information about individual actors involved in film production.,Tracks the current inventory of films across different stores in the Sakila video rental store.,nominal,nominal,0.718767,0.363636,0.037033,0
actor.first_name,language.language_id,actor,language,Tracks information about individual actors involved in film production.,Tracks various languages used in DVD rentals for user interface and film subtitles.,nominal,numeric,0.292222,0.0,0.032945,0
actor.first_name,language.name,actor,language,Tracks information about individual actors involved in film production.,Tracks various languages used in DVD rentals for user interface and film subtitles.,nominal,nominal,0.043276,0.4,0.027458,0
actor.first_name,language.last_update,actor,language,Tracks information about individual actors involved in film production.,Tracks various languages used in DVD rentals for user interface and film subtitles.,nominal,nominal,0.718767,0.363636,0.024824,0
actor.first_name,payment.payment_id,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",nominal,numeric,0.292222,0.0,0.02613,0
actor.first_name,payment.customer_id,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",nominal,numeric,0.292222,0.090909,0.040848,0
actor.first_name,payment.staff_id,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",nominal,numeric,0.493617,0.1,0.028392,0
actor.first_name,payment.rental_id,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",nominal,numeric,0.323935,0.1,0.025195,0
actor.first_name,payment.amount,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",nominal,numeric,0.335626,0.1,0.026557,0
actor.first_name,payment.payment_date,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",nominal,nominal,0.063891,0.333333,0.019253,0
actor.first_name,payment.last_update,actor,payment,Tracks information about individual actors involved in film production.,"Tracks customer payments for rentals, recording details such as amount, date, and associated staff and rental.",nominal,nominal,0.063891,0.363636,0.020107,0
actor.first_name,rental.rental_id,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,nominal,numeric,0.292222,0.1,0.035771,0
actor.first_name,rental.rental_date,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,nominal,nominal,0.063891,0.272727,0.024711,0
actor.first_name,rental.inventory_id,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,nominal,numeric,0.280256,0.083333,0.036765,0
actor.first_name,rental.customer_id,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,nominal,numeric,0.279689,0.090909,0.040201,0
actor.first_name,rental.return_date,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,nominal,nominal,0.063891,0.272727,0.027824,0
actor.first_name,rental.staff_id,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,nominal,numeric,0.493617,0.1,0.031409,0
actor.first_name,rental.last_update,actor,rental,Tracks information about individual actors involved in film production.,Tracks rental history of movies or other items for specific customers.,nominal,nominal,0.407758,0.363636,0.024016,0
actor.first_name,staff.staff_id,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,numeric,0.493617,0.1,0.029887,0
actor.first_name,staff.first_name,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,nominal,0.39393,1.0,0.024665,0
actor.first_name,staff.last_name,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,nominal,0.393929,0.7,0.023503,0
actor.first_name,staff.address_id,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,numeric,0.55421,0.1,0.027518,0
actor.first_name,staff.picture,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,nominal,1.849065,0.3,0.029428,0
actor.first_name,staff.email,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,nominal,0.407898,0.1,0.022355,0
actor.first_name,staff.store_id,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,numeric,0.493617,0.1,0.026701,0
actor.first_name,staff.active,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,nominal,0.718618,0.2,0.033662,0
actor.first_name,staff.username,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,nominal,0.39393,0.5,0.02918,0
actor.first_name,staff.password,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,nominal,0.719094,0.1,0.025806,0
actor.first_name,staff.last_update,actor,staff,Tracks information about individual actors involved in film production.,The staff table stores information about employees working in various Sakila stores.,nominal,nominal,0.718767,0.363636,0.023095,0
actor.first_name,store.store_id,actor,store,Tracks information about individual actors involved in film production.,"Tracks individual store locations, including their assigned managers and addresses.",nominal,numeric,0.493617,0.1,0.028841,0
actor.first_name,store.manager_staff_id,actor,store,Tracks information about individual actors involved in film production.,"Tracks individual store locations, including their assigned managers and addresses.",nominal,numeric,0.493617,0.1875,0.031052,0
actor.first_name,store.address_id,actor,store,Tracks information about individual actors involved in film production.,"Tracks individual store locations, including their assigned managers and addresses.",nominal,numeric,0.493617,0.1,0.025815,0
actor.first_name,store.last_update,actor,store,Tracks information about individual actors involved in film production.,"Tracks individual store locations, including their assigned managers and addresses.",nominal,nominal,0.718767,0.363636,0.028229,0
actor.last_name,actor.last_update,actor,actor,Tracks information about individual actors involved in film production.,Tracks information about individual actors involved in film production.,nominal,nominal,0.725395,0.636364,0.026435,1
actor.last_name,address.address_id,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,numeric,0.29885,0.0,0.02398,0
actor.last_name,address.address,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,nominal,0.01755,0.111111,0.017144,0
actor.last_name,address.address2,actor,address,Tracks information about individual actors involved in film production.,"Holds customer and store contact addresses for delivery, billing, or communication purposes.",nominal,nominal,0.935345,0.111111,0.025192,0
