,actor.actor_id,actor.first_name,actor.last_name,actor.last_update,address.address,address.address2,address.address_id,address.city_id,address.district,address.last_update,address.phone,address.postal_code,category.category_id,category.last_update,category.name,city.city,city.city_id,city.country_id,city.last_update,customer.active,customer.address_id,customer.create_date,customer.customer_id,customer.email,customer.first_name,customer.last_name,customer.last_update,customer.store_id,film.description,film.film_id,film.language_id,film.last_update,film.length,film.original_language_id,film.rating,film.release_year,film.rental_duration,film.rental_rate,film.replacement_cost,film.special_features,film.title,film_category.category_id,film_category.film_id,film_category.last_update,inventory.film_id,inventory.inventory_id,inventory.last_update,inventory.store_id,language.language_id,language.last_update,language.name,payment.amount,payment.customer_id,payment.last_update,payment.payment_date,payment.payment_id,payment.rental_id,payment.staff_id,rental.customer_id,rental.inventory_id,rental.last_update,rental.rental_date,rental.rental_id,rental.return_date,rental.staff_id,staff.active,staff.address_id,staff.email,staff.first_name,staff.last_name,staff.last_update,staff.password,staff.picture,staff.staff_id,staff.store_id,staff.username,store.address_id,store.last_update,store.manager_staff_id,store.store_id
address.phone,0.202233,0.245193,0.261409,0.209355,0.203078,0.156310,0.183483,0.109282,0.095226,0.231721,1.000000,0.312992,0.176664,0.209355,0.247296,0.088479,0.108483,0.176936,0.209355,0.216944,0.177658,0.160144,0.244846,0.095728,0.246080,0.263841,0.209355,0.279635,0.219708,0.108483,0.141154,0.209355,0.106712,0.137560,0.221117,0.142973,0.154405,0.169373,0.196902,0.176214,0.245894,0.172391,0.108483,0.209355,0.108483,0.170982,0.209355,0.279635,0.176664,0.209355,0.246689,0.361433,0.244846,0.231676,0.282813,0.258483,0.110638,0.092135,0.243040,0.170169,0.228326,0.163494,0.108483,0.231676,0.092135,0.197973,0.163016,0.091972,0.242874,0.259545,0.209355,0.260514,0.214286,0.092135,0.279635,0.280374,0.167135,0.209355,0.139010,0.279635
address.postal_code,0.454509,0.434718,0.502449,0.412517,0.299097,0.197540,0.318145,0.453710,0.434752,0.434883,0.312992,1.000000,0.249964,0.412517,0.368640,0.291641,0.454509,0.448035,0.412517,0.363287,0.312393,0.363306,0.386327,0.298890,0.435606,0.504882,0.412517,0.438234,0.286506,0.386327,0.276135,0.412517,0.316447,0.347540,0.299279,0.347027,0.445959,0.580348,0.432206,0.451819,0.435419,0.245763,0.386327,0.412517,0.386327,0.312463,0.412517,0.438234,0.318145,0.412517,0.368033,0.315195,0.386327,0.434838,0.417793,0.386327,0.588717,0.506416,0.384594,0.311723,0.431488,0.571202,0.590872,0.366657,0.506416,0.344316,0.297752,0.295134,0.432400,0.500586,0.412517,0.412539,0.339526,0.506416,0.438234,0.364218,0.301870,0.412517,0.374314,0.438234
category.category_id,0.659091,0.230137,0.297868,0.276117,0.367242,0.333867,0.522727,0.658292,0.298352,0.298483,0.176664,0.249964,1.000000,0.276117,0.368604,0.427968,0.659091,0.652545,0.276117,0.295069,0.516902,0.363270,0.590909,0.367036,0.231024,0.300301,0.276117,0.642744,0.286470,0.454545,0.480643,0.276117,0.316411,0.385004,0.367424,0.346991,0.395923,0.307657,0.385294,0.311158,0.299019,0.995726,0.454545,0.276117,0.454545,0.687500,0.276117,0.642744,0.522727,0.276117,0.367996,0.383413,0.590909,0.298439,0.355257,0.522727,0.520571,0.506379,0.589103,0.686686,0.295088,0.230257,0.522727,0.298439,0.506379,0.276098,0.502261,0.363280,0.227818,0.296004,0.276117,0.480685,0.203126,0.506379,0.642744,0.364182,0.506379,0.276117,0.514902,0.642744
category.last_update,0.344299,0.473870,0.677965,1.000000,0.270066,0.268484,0.276117,0.343500,0.405721,0.955441,0.209355,0.412517,0.276117,1.000000,0.339610,0.262610,0.344299,0.204047,1.000000,0.433386,0.272950,0.501587,0.344299,0.269832,0.474758,0.680398,1.000000,0.357333,0.325480,0.344299,0.386344,1.000000,0.345186,0.312803,0.338431,0.405716,0.406516,0.487954,0.345888,0.329028,0.338207,0.274502,0.344299,1.000000,0.344299,0.207935,1.000000,0.357333,0.344299,1.000000,0.340448,0.409530,0.344299,0.955486,0.517986,0.276117,0.273961,0.357333,0.345151,0.208749,0.978860,0.546394,0.276117,0.478213,0.357333,0.454526,0.285033,0.297032,0.500642,0.705193,1.000000,0.454523,0.377715,0.357333,0.357333,0.432461,0.289152,1.000000,0.314720,0.357333
category.name,0.232240,0.547896,0.580777,0.339610,0.355761,0.282725,0.307240,0.231441,0.247929,0.384080,0.247296,0.368640,0.368604,0.339610,1.000000,0.241174,0.232240,0.303352,0.339610,0.349393,0.304074,0.360750,0.368604,0.398380,0.548784,0.583211,0.339610,0.312301,0.235846,0.339383,0.407797,0.339610,0.358128,0.301475,0.373821,0.331889,0.330821,0.426261,0.370193,0.328890,0.398584,0.366988,0.339383,0.339610,0.339383,0.294740,0.339610,0.312301,0.436786,0.339610,0.999161,0.354290,0.368604,0.384124,0.435261,0.457240,0.396751,0.312301,0.369456,0.295553,0.360750,0.452306,0.398907,0.452306,0.312301,0.328252,0.289432,0.374377,0.525323,0.558659,0.339610,0.296974,0.233559,0.312301,0.312301,0.600323,0.293551,0.339610,0.359176,0.312301
city.city,0.317173,0.393275,0.327064,0.262610,0.242544,0.180158,0.223423,0.651196,0.430744,0.307081,0.088479,0.291641,0.427968,0.262610,0.241174,1.000000,0.651995,0.444535,0.262610,0.465568,0.220257,0.351933,0.359787,0.242751,0.392390,0.324627,0.262610,0.209734,0.449215,0.330566,0.194428,0.262610,0.349311,0.217658,0.367346,0.260572,0.272004,0.281081,0.314501,0.384589,0.542583,0.426353,0.330566,0.262610,0.330566,0.348423,0.262610,0.209734,0.223423,0.262610,0.240336,0.220473,0.359787,0.307125,0.301443,0.298423,0.304601,0.209734,0.360639,0.349237,0.283751,0.307125,0.306756,0.307125,0.209734,0.444427,0.205615,0.215560,0.366499,0.299834,0.262610,0.194407,0.331884,0.209734,0.209734,0.216499,0.209734,0.262610,0.256609,0.209734
city.city_id,0.625000,0.380137,0.313019,0.344299,0.230879,0.197504,0.475000,0.999201,0.417670,0.366665,0.108483,0.454509,0.659091,0.344299,0.232240,0.651995,1.000000,0.693454,0.344299,0.334030,0.469175,0.431452,0.590909,0.337815,0.381024,0.315452,0.344299,0.514902,0.354652,0.678572,0.412462,0.344299,0.248229,0.347504,0.338204,0.284490,0.395923,0.375839,0.338419,0.358033,0.445123,0.654818,0.678572,0.344299,0.678572,0.562500,0.344299,0.514902,0.454545,0.344299,0.231633,0.247050,0.590909,0.366620,0.292757,0.475000,0.581177,0.514902,0.589103,0.561687,0.363270,0.366620,0.583333,0.366620,0.514902,0.315059,0.454534,0.334059,0.377818,0.311156,0.344299,0.301708,0.242087,0.514902,0.514902,0.227818,0.458652,0.344299,0.421152,0.514902
city.country_id,0.543454,0.301248,0.300798,0.204047,0.301991,0.268615,0.468454,0.692654,0.376282,0.226413,0.176936,0.448035,0.652545,0.204047,0.303352,0.444535,0.693454,1.000000,0.204047,0.297999,0.474278,0.359382,0.584362,0.301784,0.302136,0.303230,0.204047,0.533077,0.282582,0.468454,0.408573,0.204047,0.320224,0.343615,0.302172,0.291037,0.397531,0.369293,0.389409,0.260395,0.301949,0.656818,0.468454,0.204047,0.468454,0.680953,0.204047,0.533077,0.447999,0.204047,0.302744,0.465503,0.584362,0.226368,0.351369,0.468454,0.616298,0.458077,0.586168,0.681767,0.223018,0.362732,0.618454,0.294550,0.458077,0.279028,0.461080,0.298028,0.298930,0.298934,0.204047,0.279069,0.206056,0.458077,0.533077,0.373930,0.458077,0.204047,0.420577,0.533077
city.last_update,0.344299,0.473870,0.677965,1.000000,0.270066,0.268484,0.276117,0.343500,0.405721,0.955441,0.209355,0.412517,0.276117,1.000000,0.339610,0.262610,0.344299,0.204047,1.000000,0.433386,0.272950,0.501587,0.344299,0.269832,0.474758,0.680398,1.000000,0.357333,0.325480,0.344299,0.386344,1.000000,0.345186,0.312803,0.338431,0.405716,0.406516,0.487954,0.345888,0.329028,0.338207,0.274502,0.344299,1.000000,0.344299,0.207935,1.000000,0.357333,0.344299,1.000000,0.340448,0.409530,0.344299,0.955486,0.517986,0.276117,0.273961,0.357333,0.345151,0.208749,0.978860,0.546394,0.276117,0.478213,0.357333,0.454526,0.285033,0.297032,0.500642,0.705193,1.000000,0.454523,0.377715,0.357333,0.357333,0.432461,0.289152,1.000000,0.314720,0.357333
customer.active,0.508138,0.372293,0.471836,0.433386,0.330153,0.304097,0.301888,0.333231,0.409824,0.431108,0.216944,0.363287,0.295069,0.433386,0.349393,0.465568,0.334030,0.297999,0.433386,1.000000,0.298721,0.386344,0.363251,0.347772,0.373178,0.474273,0.433386,0.333672,0.414783,0.226888,0.365223,0.433386,0.227775,0.285347,0.473222,0.353261,0.375468,0.370543,0.364840,0.350157,0.472976,0.293454,0.226888,0.433386,0.226888,0.289387,0.433386,0.333672,0.363251,0.433386,0.350231,0.348938,0.363251,0.431152,0.414107,0.376888,0.308065,0.333672,0.364103,0.290201,0.454526,0.362971,0.310221,0.362971,0.333672,0.978860,0.310803,0.374972,0.399069,0.499065,0.433386,0.322568,0.473438,0.333672,0.333672,0.342819,0.314922,0.433386,0.333672,0.333672
customer.address_id,0.544175,0.301970,0.226519,0.272950,0.752712,0.719337,0.994175,0.468376,0.377003,0.295316,0.177658,0.312393,0.516902,0.272950,0.304074,0.220257,0.469175,0.474278,0.272950,0.298721,1.000000,0.291922,0.448721,0.377506,0.302858,0.228952,0.272950,0.608799,0.283303,0.469175,0.477477,0.272950,0.320946,0.344337,0.302894,0.352816,0.348252,0.233651,0.390131,0.307991,0.302671,0.521176,0.469175,0.272950,0.469175,0.431675,0.272950,0.608799,0.516902,0.272950,0.303466,0.316225,0.448721,0.295272,0.352090,0.544175,0.467020,0.458799,0.450527,0.432489,0.291922,0.227090,0.469175,0.295272,0.458799,0.279750,0.985358,0.373749,0.299651,0.224656,0.272950,0.354791,0.131777,0.458799,0.608799,0.299651,0.983799,0.272950,0.515049,0.608799
customer.create_date,0.295088,0.495010,0.494560,0.501587,0.291207,0.278547,0.295088,0.430653,0.358680,0.499309,0.160144,0.363306,0.363270,0.501587,0.360750,0.351933,0.431452,0.359382,0.501587,0.386344,0.291922,1.000000,0.295088,0.359154,0.495898,0.496992,0.501587,0.376305,0.210257,0.295088,0.297022,0.501587,0.364157,0.360366,0.427753,0.478279,0.525487,0.643290,0.411734,0.443919,0.359348,0.361655,0.295088,0.501587,0.295088,0.351907,0.501587,0.376305,0.295088,0.501587,0.361588,0.360320,0.295088,0.499353,0.601626,0.295088,0.429296,0.376305,0.295940,0.352720,0.522727,0.703899,0.431452,0.635717,0.376305,0.365204,0.304004,0.386354,0.521783,0.521787,0.501587,0.297019,0.288392,0.376305,0.376305,0.453601,0.308123,0.501587,0.427441,0.376305
customer.customer_id,0.659091,0.298318,0.366050,0.344299,0.299061,0.265685,0.454545,0.590110,0.434715,0.366665,0.244846,0.386327,0.590909,0.344299,0.368604,0.359787,0.590909,0.584362,0.344299,0.363251,0.448721,0.295088,1.000000,0.367036,0.299206,0.368482,0.344299,0.710925,0.286470,0.522727,0.412462,0.344299,0.316411,0.310004,0.299243,0.284490,0.395923,0.375839,0.385294,0.311158,0.367201,0.586635,0.522727,0.344299,0.522727,0.500000,0.344299,0.710925,0.454545,0.344299,0.367996,0.315231,1.000000,0.366620,0.292757,0.522727,0.520571,0.574561,0.998194,0.499186,0.363270,0.298439,0.522727,0.230257,0.574561,0.344280,0.434079,0.363280,0.296000,0.364186,0.344299,0.412503,0.271308,0.574561,0.710925,0.432363,0.438198,0.344299,0.421152,0.710925
customer.email,0.324422,0.324464,0.332347,0.269832,0.249761,0.187407,0.380672,0.337016,0.343248,0.314330,0.095728,0.298890,0.367036,0.269832,0.398380,0.242751,0.337815,0.301784,0.269832,0.347772,0.377506,0.359154,0.367036,1.000000,0.324594,0.331832,0.269832,0.310733,0.373830,0.444958,0.337995,0.269832,0.356560,0.262407,0.374550,0.330321,0.379253,0.356511,0.321750,0.330486,0.249796,0.365420,0.444958,0.269832,0.444958,0.355672,0.269832,0.310733,0.367036,0.269832,0.397541,0.352722,0.367036,0.314347,0.371165,0.380672,0.478516,0.404483,0.367888,0.356486,0.290973,0.382528,0.480672,0.382528,0.404483,0.326632,0.362864,0.972800,0.298702,0.307040,0.269832,0.201656,0.124848,0.404483,0.310733,0.411202,0.366983,0.269832,0.357608,0.310733
customer.first_name,0.306024,0.999112,0.773658,0.474758,0.249832,0.187759,0.306024,0.380225,0.474145,0.519228,0.246080,0.435606,0.231024,0.474758,0.548784,0.392390,0.381024,0.302136,0.474758,0.373178,0.302858,0.495898,0.299206,0.324594,1.000000,0.773905,0.474758,0.292335,0.237060,0.456024,0.202038,0.474758,0.306912,0.375259,0.474956,0.330673,0.329605,0.425045,0.322102,0.376979,0.474798,0.229409,0.456024,0.474758,0.456024,0.293524,0.474758,0.292335,0.231024,0.474758,0.547945,0.303074,0.299206,0.519272,0.496545,0.231024,0.303869,0.292335,0.300058,0.294338,0.495898,0.451090,0.306024,0.451090,0.292335,0.352038,0.288216,0.298161,0.974109,0.749110,0.474758,0.277008,0.350200,0.292335,0.292335,0.599109,0.292335,0.474758,0.357960,0.292335
customer.last_name,0.398785,0.773018,0.997563,0.680398,0.332071,0.272187,0.232119,0.314653,0.414716,0.724868,0.263841,0.504882,0.300301,0.680398,0.583211,0.324627,0.315452,0.303230,0.680398,0.474273,0.228952,0.496992,0.368482,0.331832,0.773905,1.000000,0.680398,0.301762,0.304147,0.315452,0.407678,0.680398,0.399673,0.338854,0.498942,0.456767,0.380699,0.494321,0.416946,0.375884,0.415369,0.298685,0.315452,0.680398,0.315452,0.294619,0.680398,0.301762,0.436664,0.680398,0.582374,0.395835,0.368482,0.724912,0.560139,0.382119,0.313296,0.301762,0.369334,0.295432,0.701538,0.520366,0.315452,0.452184,0.301762,0.453132,0.214310,0.307589,0.750204,0.975205,0.680398,0.369769,0.292961,0.301762,0.301762,0.641871,0.218429,0.680398,0.359054,0.301762
customer.last_update,0.344299,0.473870,0.677965,1.000000,0.270066,0.268484,0.276117,0.343500,0.405721,0.955441,0.209355,0.412517,0.276117,1.000000,0.339610,0.262610,0.344299,0.204047,1.000000,0.433386,0.272950,0.501587,0.344299,0.269832,0.474758,0.680398,1.000000,0.357333,0.325480,0.344299,0.386344,1.000000,0.345186,0.312803,0.338431,0.405716,0.406516,0.487954,0.345888,0.329028,0.338207,0.274502,0.344299,1.000000,0.344299,0.207935,1.000000,0.357333,0.344299,1.000000,0.340448,0.409530,0.344299,0.955486,0.517986,0.276117,0.273961,0.357333,0.345151,0.208749,0.978860,0.546394,0.276117,0.478213,0.357333,0.454526,0.285033,0.297032,0.500642,0.705193,1.000000,0.454523,0.377715,0.357333,0.357333,0.432461,0.289152,1.000000,0.314720,0.357333
customer.store_id,0.702402,0.291447,0.299330,0.357333,0.404689,0.398038,0.608652,0.514103,0.310230,0.352975,0.279635,0.438234,0.642744,0.357333,0.312301,0.209734,0.514902,0.533077,0.357333,0.333672,0.608799,0.376305,0.710925,0.310733,0.292335,0.301762,0.357333,1.000000,0.340962,0.514902,0.493678,0.357333,0.235423,0.360538,0.311121,0.363338,0.385546,0.309126,0.328043,0.297468,0.310898,0.644441,0.514902,0.357333,0.514902,0.608652,0.357333,1.000000,0.506379,0.357333,0.311693,0.324452,0.710925,0.352931,0.341567,0.533652,0.481496,0.718750,0.712732,0.609466,0.376305,0.284749,0.483652,0.421112,0.718750,0.314701,0.620881,0.333701,0.315853,0.324190,0.357333,0.314742,0.241729,0.718750,1.000000,0.334603,0.625000,0.357333,0.484375,1.000000
film.description,0.354652,0.237945,0.306583,0.325480,0.305409,0.243205,0.286470,0.353853,0.578823,0.370039,0.219708,0.286506,0.286470,0.325480,0.235846,0.449215,0.354652,0.282582,0.325480,0.414783,0.283303,0.210257,0.286470,0.373830,0.237060,0.304147,0.325480,0.340962,1.000000,0.286470,0.189098,0.325480,0.355539,0.212523,0.441561,0.255437,0.466869,0.275946,0.403116,0.342870,0.373626,0.284855,0.286470,0.325480,0.286470,0.280788,0.325480,0.340962,0.218288,0.325480,0.235007,0.283520,0.286470,0.369995,0.233631,0.286470,0.352496,0.340962,0.287322,0.281601,0.346621,0.301813,0.354652,0.369995,0.340962,0.393643,0.268662,0.346630,0.211169,0.279355,0.325480,0.257321,0.248827,0.340962,0.340962,0.347532,0.272780,0.325480,0.298349,0.340962
film.film_id,0.531250,0.455137,0.313019,0.344299,0.230879,0.197504,0.475000,0.677773,0.417670,0.366665,0.108483,0.386327,0.454545,0.344299,0.339383,0.330566,0.678572,0.468454,0.344299,0.226888,0.469175,0.295088,0.522727,0.444958,0.456024,0.315452,0.344299,0.514902,0.286470,1.000000,0.412462,0.344299,0.248229,0.385004,0.231061,0.346991,0.345922,0.307657,0.385294,0.311158,0.337980,0.450272,1.000000,0.344299,1.000000,0.437500,0.344299,0.514902,0.454545,0.344299,0.338776,0.247050,0.522727,0.366620,0.355257,0.550000,0.497844,0.514902,0.520921,0.436687,0.363270,0.298439,0.500000,0.298439,0.514902,0.207916,0.454534,0.441202,0.452818,0.311156,0.344299,0.301708,0.242087,0.514902,0.514902,0.227818,0.458652,0.344299,0.374277,0.514902
film.language_id,0.480643,0.201153,0.405241,0.386344,0.338234,0.336647,0.480643,0.411663,0.201183,0.341786,0.141154,0.276135,0.480643,0.386344,0.407797,0.194428,0.412462,0.408573,0.386344,0.365223,0.477477,0.297022,0.412462,0.337995,0.202038,0.407678,0.386344,0.493678,0.189098,0.412462,1.000000,0.386344,0.413349,0.612784,0.338445,0.343197,0.306497,0.283390,0.345869,0.282142,0.270017,0.479028,0.412462,0.386344,0.412462,0.395416,0.386344,0.493678,0.957916,0.386344,0.408636,0.341330,0.412462,0.341830,0.267966,0.480643,0.546669,0.493678,0.413314,0.396230,0.365204,0.273648,0.548825,0.205467,0.493678,0.386363,0.489559,0.365195,0.227929,0.432470,0.386344,0.386322,0.309514,0.493678,0.493678,0.364293,0.493678,0.386344,0.549076,0.493678
